src,dst,hops,e2e_ms,http_ms,cost
milano,torino,1,457.963,473.239,1.0
milano,torino,1,63.105,65.569,1.0
milano,torino,1,44.211,46.631,1.0
milano,torino,1,48.904,58.028,1.0
milano,torino,1,55.859,58.7,1.0
milano,torino,1,48.258,50.82,1.0
milano,torino,1,40.377,43.389,1.0
milano,torino,1,46.827,49.199,1.0
milano,torino,1,45.433,47.458,1.0
milano,torino,1,46.043,48.19,1.0
milano,torino,1,38.988,41.393,1.0
milano,torino,1,42.815,45.287,1.0
milano,torino,1,39.665,42.432,1.0
milano,torino,1,50.115,53.851,1.0
milano,torino,1,42.974,45.783,1.0
milano,torino,1,42.12,44.871,1.0
milano,torino,1,39.729,42.321,1.0
milano,torino,1,45.726,48.473,1.0
milano,torino,1,40.896,43.364,1.0
milano,torino,1,53.111,55.715,1.0
milano,genova,2,122.814,125.808,2.0
milano,genova,2,46.664,49.381,2.0
milano,genova,2,45.475,52.275,2.0
milano,genova,2,54.583,57.032,2.0
milano,genova,2,49.409,51.841,2.0
milano,genova,2,47.345,49.97,2.0
milano,genova,2,48.35,50.816,2.0
milano,genova,2,53.648,89.028,2.0
milano,genova,2,49.859,51.728,2.0
milano,genova,2,55.159,57.386,2.0
milano,genova,2,45.94,48.396,2.0
milano,genova,2,49.25,51.732,2.0
milano,genova,2,52.17,58.222,2.0
milano,genova,2,53.721,60.695,2.0
milano,genova,2,48.882,51.389,2.0
milano,genova,2,48.587,50.998,2.0
milano,genova,2,46.918,49.177,2.0
milano,genova,2,49.805,52.319,2.0
milano,genova,2,45.297,48.241,2.0
milano,genova,2,144.056,147.268,2.0
milano,venezia,3,99.857,102.903,3.0
milano,venezia,3,61.054,64.089,3.0
milano,venezia,3,50.304,52.727,3.0
milano,venezia,3,56.23,58.985,3.0
milano,venezia,3,51.164,53.549,3.0
milano,venezia,3,52.494,55.275,3.0
milano,venezia,3,49.962,53.848,3.0
milano,venezia,3,53.463,55.994,3.0
milano,venezia,3,50.428,53.274,3.0
milano,venezia,3,53.035,55.395,3.0
milano,venezia,3,49.553,52.424,3.0
milano,venezia,3,51.557,54.321,3.0
milano,venezia,3,47.812,50.166,3.0
milano,venezia,3,101.775,104.356,3.0
milano,venezia,3,76.26,79.16,3.0
milano,venezia,3,65.576,68.084,3.0
milano,venezia,3,85.421,89.905,3.0
milano,venezia,3,60.908,63.894,3.0
milano,venezia,3,56.018,58.651,3.0
milano,venezia,3,66.944,70.206,3.0
milano,bologna,2,150.104,153.519,2.0
milano,bologna,2,49.291,52.152,2.0
milano,bologna,2,45.896,48.284,2.0
milano,bologna,2,54.199,57.19,2.0
milano,bologna,2,45.224,47.654,2.0
milano,bologna,2,47.906,50.396,2.0
milano,bologna,2,45.276,47.849,2.0
milano,bologna,2,46.336,48.747,2.0
milano,bologna,2,45.027,47.296,2.0
milano,bologna,2,47.916,50.291,2.0
milano,bologna,2,44.331,47.339,2.0
milano,bologna,2,50.661,53.057,2.0
milano,bologna,2,43.247,45.903,2.0
milano,bologna,2,48.948,50.943,2.0
milano,bologna,2,47.387,49.557,2.0
milano,bologna,2,46.299,48.648,2.0
milano,bologna,2,43.068,45.388,2.0
milano,bologna,2,47.821,50.647,2.0
milano,bologna,2,46.357,48.884,2.0
