backend,e2e_ms,kom_ms,http_ms
mock,141.305,44.909,154.497
mock,64.113,33.269,66.5
mock,52.8,24.227,55.217
mock,70.207,29.886,79.563
mock,62.776,32.732,65.248
mock,61.945,30.404,64.232
mock,72.269,37.094,74.683
mock,58.468,30.273,61.144
mock,58.993,27.744,61.743
mock,53.583,27.579,56.412
mock,49.845,23.429,53.234
mock,52.915,27.406,55.402
mock,50.319,22.996,53.125
mock,58.597,28.907,60.887
mock,51.532,24.71,53.974
mock,59.94,32.853,62.9
mock,48.522,23.389,50.6
mock,59.092,32.41,61.84
mock,57.652,25.195,60.184
mock,53.451,27.427,55.639
mock,51.371,23.576,53.825
mock,65.305,37.867,68.296
mock,52.022,25.229,55.357
mock,60.239,29.246,63.131
mock,52.175,23.562,56.297
