backend,e2e_ms,kom_ms,http_ms
ndks,706.665,650.466,717.594
ndks,592.597,557.347,597.824
ndks,623.75,586.296,626.503
ndks,594.05,564.583,596.551
ndks,624.591,589.601,627.743
ndks,596.559,565.001,601.183
ndks,588.927,559.273,591.446
ndks,621.119,581.542,624.087
ndks,582.993,555.019,585.672
ndks,587.281,558.343,591.508
ndks,630.002,598.917,633.345
ndks,599.116,568.717,601.75
ndks,612.136,578.342,614.547
ndks,628.764,594.163,631.871
ndks,589.468,557.999,592.486
ndks,676.031,629.342,679.149
ndks,597.569,567.079,600.466
ndks,587.196,557.753,589.978
ndks,580.811,550.281,583.357
ndks,684.538,629.162,693.771
ndks,647.863,605.851,652.129
ndks,579.703,549.629,582.808
ndks,594.624,562.13,597.751
ndks,589.27,560.554,591.903
ndks,593.245,561.915,595.802
