t,rho,stored,prefetching,threshold
0.02,1.0,500,False,0.3
0.07,1.0,500,False,0.3
0.12,1.0,500,False,0.3
0.17,1.0,500,False,0.3
0.23,1.0,500,False,0.3
0.28,1.0,500,False,0.3
0.33,1.0,500,False,0.3
0.39,1.0,500,False,0.3
0.44,1.0,500,False,0.3
0.49,1.0,500,False,0.3
0.55,1.0,500,False,0.3
0.61,1.0,500,False,0.3
0.66,1.0,500,False,0.3
0.72,1.0,500,False,0.3
0.78,1.0,500,False,0.3
0.84,1.0,500,False,0.3
0.89,1.0,500,False,0.3
0.95,1.0,500,False,0.3
1.0,1.0,500,False,0.3
1.06,1.0,500,False,0.3
1.12,1.0,500,False,0.3
1.19,1.0,500,False,0.3
1.24,1.0,500,False,0.3
1.29,1.0,500,False,0.3
1.34,1.0,500,False,0.3
1.4,1.0,500,False,0.3
1.45,1.0,500,False,0.3
1.51,1.0,500,False,0.3
1.56,1.0,500,False,0.3
1.62,1.0,500,False,0.3
1.68,1.0,500,False,0.3
1.73,1.0,500,False,0.3
1.79,1.0,500,False,0.3
1.84,1.0,500,False,0.3
1.9,1.0,500,False,0.3
1.96,1.0,500,False,0.3
2.01,1.0,500,False,0.3
2.06,1.0,500,False,0.3
2.1,1.0,500,False,0.3
2.16,1.0,500,False,0.3
2.21,1.0,500,False,0.3
2.27,1.0,500,False,0.3
2.32,1.0,500,False,0.3
2.38,1.0,500,False,0.3
2.44,1.0,500,False,0.3
2.49,1.0,500,False,0.3
2.55,1.0,500,False,0.3
2.6,1.0,500,False,0.3
2.66,1.0,500,False,0.3
2.72,1.0,500,False,0.3
2.78,1.0,500,False,0.3
2.84,1.0,500,False,0.3
2.89,1.0,500,False,0.3
2.95,1.0,500,False,0.3
3.01,1.0,500,False,0.3
3.07,1.0,500,False,0.3
3.15,1.0,500,False,0.3
3.21,1.0,500,False,0.3
3.26,1.0,500,False,0.3
3.32,1.0,500,False,0.3
3.38,1.0,500,False,0.3
3.43,1.0,500,False,0.3
3.49,1.0,500,False,0.3
3.54,1.0,500,False,0.3
3.6,1.0,500,False,0.3
3.65,1.0,500,False,0.3
3.7,1.0,500,False,0.3
3.76,1.0,500,False,0.3
3.81,1.0,500,False,0.3
3.87,1.0,500,False,0.3
3.92,1.0,500,False,0.3
3.98,1.0,500,False,0.3
4.04,1.0,500,False,0.3
4.1,1.0,500,False,0.3
4.15,1.0,500,False,0.3
4.2,1.0,500,False,0.3
4.26,1.0,500,False,0.3
4.32,1.0,500,False,0.3
4.37,1.0,500,False,0.3
4.43,1.0,500,False,0.3
4.48,1.0,500,False,0.3
4.54,1.0,500,False,0.3
4.6,1.0,500,False,0.3
4.65,1.0,500,False,0.3
4.71,1.0,500,False,0.3
4.77,1.0,500,False,0.3
4.83,1.0,500,False,0.3
4.88,1.0,500,False,0.3
4.94,1.0,500,False,0.3
5.0,1.0,500,False,0.3
5.15,1.0,500,False,0.3
5.2,1.0,500,False,0.3
5.25,1.0,500,False,0.3
5.3,1.0,500,False,0.3
5.35,1.0,500,False,0.3
5.4,1.0,500,False,0.3
5.45,0.96,480,False,0.3
5.5,0.96,480,False,0.3
5.55,0.96,480,False,0.3
5.61,0.96,480,False,0.3
5.66,0.96,480,False,0.3
5.71,0.96,480,False,0.3
5.76,0.96,480,False,0.3
5.81,0.92,460,False,0.3
5.86,0.92,460,False,0.3
5.92,0.92,460,False,0.3
5.97,0.92,460,False,0.3
6.02,0.91,455,False,0.3
6.06,0.88,440,False,0.3
6.12,0.88,440,False,0.3
6.16,0.88,440,False,0.3
6.21,0.87,435,False,0.3
6.25,0.87,435,False,0.3
6.3,0.87,435,False,0.3
6.35,0.84,420,False,0.3
6.39,0.83,415,False,0.3
6.47,0.83,415,False,0.3
6.52,0.83,415,False,0.3
6.56,0.82,410,False,0.3
6.61,0.79,395,False,0.3
6.66,0.79,395,False,0.3
6.71,0.79,395,False,0.3
6.76,0.79,395,False,0.3
6.81,0.78,390,False,0.3
6.86,0.78,390,False,0.3
6.91,0.75,375,False,0.3
6.96,0.75,375,False,0.3
7.01,0.74,370,False,0.3
7.06,0.74,370,False,0.3
7.1,0.73,365,False,0.3
7.14,0.71,355,False,0.3
7.19,0.7,350,False,0.3
7.23,0.7,350,False,0.3
7.28,0.69,345,False,0.3
7.33,0.69,345,False,0.3
7.38,0.66,330,False,0.3
7.42,0.66,330,False,0.3
7.48,0.65,325,False,0.3
7.53,0.65,325,False,0.3
7.58,0.62,310,False,0.3
7.62,0.61,305,False,0.3
7.69,0.61,305,False,0.3
7.74,0.61,305,False,0.3
7.78,0.59,295,False,0.3
7.83,0.57,285,False,0.3
7.89,0.57,285,False,0.3
7.94,0.57,285,False,0.3
7.98,0.56,280,False,0.3
8.03,0.53,265,False,0.3
8.08,0.53,265,False,0.3
8.13,0.52,260,False,0.3
8.17,0.51,255,False,0.3
8.22,0.51,255,False,0.3
8.27,0.49,245,False,0.3
8.31,0.48,240,False,0.3
8.36,0.47,235,False,0.3
8.41,0.47,235,False,0.3
8.46,0.45,225,False,0.3
8.5,0.44,220,False,0.3
8.55,0.43,215,False,0.3
8.6,0.43,215,False,0.3
8.64,0.43,215,False,0.3
8.69,0.4,200,False,0.3
8.74,0.39,195,False,0.3
8.79,0.39,195,False,0.3
8.86,0.39,195,False,0.3
8.91,0.38,190,False,0.3
8.95,0.35,175,False,0.3
9.01,0.35,175,False,0.3
9.06,0.35,175,False,0.3
9.11,0.34,170,False,0.3
9.16,0.34,170,False,0.3
9.2,0.34,170,False,0.3
9.25,0.31,155,False,0.3
9.29,0.31,155,False,0.3
9.34,0.3,150,False,0.3
9.39,0.3,150,False,0.3
9.43,0.29,145,True,0.3
9.48,0.31,155,True,0.3
9.53,0.3,150,True,0.3
9.58,0.34,170,True,0.3
9.63,0.33,165,True,0.3
9.68,0.37,185,True,0.3
9.72,0.34,170,True,0.3
9.77,0.34,170,True,0.3
9.82,0.37,185,True,0.3
9.86,0.37,185,True,0.3
9.91,0.4,200,True,0.3
9.95,0.38,190,True,0.3
10.0,0.41,205,True,0.3
10.05,0.41,205,True,0.3
10.11,0.44,220,True,0.3
10.16,0.42,210,True,0.3
10.2,0.45,225,True,0.3
10.25,0.44,220,True,0.3
10.3,0.48,240,True,0.3
10.34,0.48,240,True,0.3
10.39,0.49,245,True,0.3
10.44,0.48,240,True,0.3
10.49,0.52,260,True,0.3
10.54,0.52,260,True,0.3
10.59,0.56,280,True,0.3
10.64,0.55,275,True,0.3
10.69,0.56,280,True,0.3
10.74,0.56,280,True,0.3
10.8,0.6,300,True,0.3
10.85,0.6,300,True,0.3
10.89,0.63,315,True,0.3
10.94,0.6,300,True,0.3
10.99,0.64,320,True,0.3
11.04,0.64,320,True,0.3
11.09,0.67,335,True,0.3
11.13,0.67,335,True,0.3
11.18,0.67,335,True,0.3
11.22,0.68,340,True,0.3
11.28,0.67,335,True,0.3
11.33,0.71,355,True,0.3
11.42,0.75,375,True,0.3
11.46,0.74,370,True,0.3
11.51,0.78,390,True,0.3
11.56,0.75,375,True,0.3
11.6,0.79,395,True,0.3
11.65,0.79,395,True,0.3
11.7,0.82,410,True,0.3
11.75,0.82,410,True,0.3
11.79,0.83,415,True,0.3
11.84,0.83,415,True,0.3
11.89,0.82,410,True,0.3
11.94,0.86,430,True,0.3
12.0,0.89,445,True,0.3
12.05,0.87,435,True,0.3
12.09,0.86,430,True,0.3
12.15,0.9,450,False,0.3
12.2,0.89,445,False,0.3
12.25,0.89,445,False,0.3
12.29,0.89,445,False,0.3
12.34,0.86,430,False,0.3
12.39,0.85,425,False,0.3
12.44,0.85,425,False,0.3
12.49,0.85,425,False,0.3
12.54,0.85,425,False,0.3
12.58,0.85,425,False,0.3
12.63,0.81,405,False,0.3
12.68,0.81,405,False,0.3
12.73,0.81,405,False,0.3
12.81,0.81,405,False,0.3
12.85,0.81,405,False,0.3
12.9,0.81,405,False,0.3
12.95,0.77,385,False,0.3
12.99,0.77,385,False,0.3
13.05,0.77,385,False,0.3
13.1,0.77,385,False,0.3
13.15,0.77,385,False,0.3
13.2,0.76,380,False,0.3
13.25,0.73,365,False,0.3
13.3,0.73,365,False,0.3
13.34,0.73,365,False,0.3
13.39,0.72,360,False,0.3
13.44,0.71,355,False,0.3
13.48,0.69,345,False,0.3
13.53,0.69,345,False,0.3
13.58,0.68,340,False,0.3
13.62,0.67,335,False,0.3
13.67,0.67,335,False,0.3
13.72,0.65,325,False,0.3
13.77,0.64,320,False,0.3
13.82,0.63,315,False,0.3
13.86,0.63,315,False,0.3
13.9,0.63,315,False,0.3
13.95,0.6,300,False,0.3
14.01,0.59,295,False,0.3
14.06,0.59,295,False,0.3
14.13,0.59,295,False,0.3
14.17,0.59,295,False,0.3
14.22,0.59,295,False,0.3
14.26,0.55,275,False,0.3
14.31,0.55,275,False,0.3
14.36,0.55,275,False,0.3
14.41,0.55,275,False,0.3
14.46,0.55,275,False,0.3
14.5,0.54,270,False,0.3
14.55,0.51,255,False,0.3
14.6,0.51,255,False,0.3
14.65,0.51,255,False,0.3
14.69,0.5,250,False,0.3
14.74,0.5,250,False,0.3
14.79,0.47,235,False,0.3
14.83,0.47,235,False,0.3
14.89,0.46,230,False,0.3
14.93,0.45,225,False,0.3
14.98,0.45,225,False,0.3
15.02,0.43,215,False,0.3
15.07,0.42,210,False,0.3
15.11,0.41,205,False,0.3
15.17,0.41,205,False,0.3
15.21,0.41,205,False,0.3
15.26,0.4,200,False,0.3
15.31,0.37,185,False,0.3
15.36,0.37,185,False,0.3
15.43,0.37,185,False,0.3
15.47,0.36,180,False,0.3
